codigo_ccif;nivel;ejemplo;tipo;frase_original;;;;;;
01.1.0.00.00;Grupo;productos que necesitan ser cocinados;incluido;productos que necesitan ser cocinados y preparados, así como alimentos preparados;;;;;;
01.1.0.00.00;Grupo;preparados;incluido;productos que necesitan ser cocinados y preparados, así como alimentos preparados;;;;;;
01.1.0.00.00;Grupo;alimentos preparados;incluido;productos que necesitan ser cocinados y preparados, así como alimentos preparados;;;;;;
07.4.9.02.01;Producto;servicios de entrega local de alimentos;excluido;servicios de entrega local de alimentos o bebidas, cuando se cobran por separado (07.4.9.02.01);;;;;;
07.4.9.02.01;Producto;bebidas;excluido;servicios de entrega local de alimentos o bebidas, cuando se cobran por separado (07.4.9.02.01);;;;;;
09.3.2.02.01;Producto;productos para la alimentación animal;excluido;productos para la alimentación animal (09.3.2.02.01);;;;;;
11.0.0.00.00;División;alimentos provistos por los servicios de alimentación;excluido;alimentos provistos por los servicios de alimentación (11.0.0.00.00);;;;;;
01.1.1.01.00;Subclase;trigo;incluido;trigo;;;;;;
01.1.1.01.00;Subclase;arroz;incluido;arroz, incluido el arroz parbolizado (o vaporizado);;;;;;
01.1.1.01.00;Subclase;sorgo;incluido;sorgo;;;;;;
01.1.1.01.00;Subclase;cebada;incluido;cebada;;;;;;
01.1.1.01.00;Subclase;mijo;incluido;mijo;;;;;;
01.1.1.01.00;Subclase;maíz;incluido;maíz;;;;;;
01.1.1.01.00;Subclase;quinoa;incluido;quinoa;;;;;;
01.1.1.01.00;Subclase;teff;incluido;teff;;;;;;
01.1.1.01.00;Subclase;bulgur (o burgul);incluido;bulgur (o burgul);;;;;;
01.1.1.01.00;Subclase;centeno;incluido;centeno;;;;;;
01.1.1.01.00;Subclase;avena;incluido;avena;;;;;;
01.1.1.01.00;Subclase;triticale;incluido;triticale;;;;;;
01.1.1.01.00;Subclase;alforfón (o trigo sarraceno);incluido;alforfón (o trigo sarraceno);;;;;;
01.1.1.01.00;Subclase;alpiste;incluido;alpiste;;;;;;
01.1.1.01.00;Subclase;quihuicha;incluido;quihuicha o trigo inca;;;;;;
01.1.1.01.00;Subclase;trigo inca;incluido;quihuicha o trigo inca;;;;;;
01.1.1.01.00;Subclase;cañahua;incluido;cañahua, cañihua o kañiwa;;;;;;
01.1.1.01.00;Subclase;cañihua;incluido;cañahua, cañihua o kañiwa;;;;;;
01.1.1.01.00;Subclase;kañiwa;incluido;cañahua, cañihua o kañiwa;;;;;;
01.1.1.01.00;Subclase;adlay;incluido;adlay o las lágrimas de Job;;;;;;
01.1.1.01.00;Subclase;granos de cereales mezclados;incluido;granos de cereales mezclados, en forma de granos secos, que también incluyen otros ingredientes (siempre que estos no sean el ingrediente principal) pero sin otro procesamiento;;;;;;
01.1.1.02.00;Subclase;harina de cereales;excluido;harina de cereales (01.1.1.02.00);;;;;;
01.1.1.04.01;Producto;cereales para el desayuno;excluido;cereales para el desayuno (01.1.1.04.01);;;;;;
