id,text
0117,espinacas
0722,"lubricantes, líquidos de frenos y transmisión, refrigerantes y aditivos"
1111,"desayunos, comidas y otros alimentos y bebidas proporcionados en el alojamiento y establecimientos similares, si se cobran por separado (11.1.1.00.00)"
0944,arriendo de quitasoles y sillas de playa
0113,"choritos, choros o choro maltón vivos, frescos, refrigerados o congelados"
0641,servicios de diagnóstico por imágenes y servicios de laboratorio médico no asociados a un servicio de hospitalización (06.4.1.00.00)
0613,rampas portátiles
0321,"sandalias, chalas, hawaianas para lactantes"
1391,"pagos por servicios de asesoramiento y de profesionales, tales como contadores, ingenieros, constructores, arquitectos, entre otros"
0444,"servicios de jardinería, como paisajismo (04.4.4.09.99) o servicios de jardineros (05.6.2.01.01)"
0122,"preparaciones de bebidas a base de café y cafés preparados (embotellados, enlatados, envasado de cartón y similares)"
0112,patés y otras pastas de carne para untar
1221,gastos financieros en intereses por préstamos otorgados por otras instituciones de intermediación financiera reguladas por la Comisión para el Mercado Financiero (CMF)
1321,"relojes, joyas, gemelos, alfileres de corbatas (13.2.1.01.00)"
0971,"todo tipo de libros, educativos o no, incluyendo atlas, diccionarios, enciclopedias, libros de música, guías, etc"
1211,cargos por servicio de seguros funerarios
1331,"los servicios de asistencia social se relacionan con la atención que permite a una persona vivir independientemente en una casa o departamento, actividades comunitarias y apoyo laboral que se brinda de manera continua o recurrente a las personas, como actividades cuyo propósito principal es social y de ocio (13.3.1.03.01)"
0117,kocho (pan plano hecho de tallo vegetal)
0561,"cepillos para platos, esponjas de uso doméstico, estropajos, viruta de acero"
0730,servicios de transporte de pasajeros (07.3.0.00.00)
0114,leche de coco para beber
0561,"betunes, cremas y otros artículos de limpieza de zapatos (escobilla para zapatos)"
0117,"pepinos frescos o refrigerados como pepino maduro, pepino verde"
0111,cebada
0713,bicicletas y triciclos de todo tipo
1111,consumo realizado al interior de pubs y restaurantes (11.1.1.02.00)
1011,jardines educacionales (10.1.1.01.00)
0613,"órtesis (refuerzo, férula u otro dispositivo externo artificial que sirva para apoyar la pierna, la columna vertebral, el cuello, la mano)"
0947,entradas a casinos para apuestas de juegos y máquinas tragamonedas (09.4.7.01.02)
0532,abrelatas
1391,"pagos por el uso de baños públicos en centros comerciales, terminales de buses, etc"
1329,carteras de todo tipo
0921,juegos o artículos de bromas
0444,"gastos de reparación (arreglo de desperfectos o deterioros de los bienes de dominio común o el reemplazo de artefactos, piezas o partes de estos)"
1031,"nivel 4 de CINE 2011: la educación postsecundaria no terciaria proporciona experiencias de aprendizaje basadas en la educación secundaria, preparando para el ingreso al mercado laboral, así como para la educación superior. Apunta a la adquisición individual de conocimientos, habilidades y competencias más bajas que el nivel de complejidad que caracteriza a la educación superior. La educación postsecundaria no terciaria generalmente está diseñada para personas que completan la educación secundaria superior sin las cualificaciones requeridas para el paso a la educación superior y/o para personas que buscan determinados tipos de empleos cuando sus cualificaciones secundarias no otorgan tal acceso. Por ejemplo, los graduados de programas secundarios generales pueden elegir completar una cualificación vocacional no terciaria"
0622,"servicios de control y seguimiento después de que los síntomas aparezcan, sin hospitalización (06.2.2.00.00, 06.2.3.00.00)"
0312,polerones de buzo para niña (03.1.2.02.06)
0410,arriendos pagados por arrendatarios o subarrendatarios que ocupan edificaciones sin amoblar o amoblados como su vivienda principal
0111,cabellos de ángel largos o cortos
0111,harina integral de trigo (01.1.1.02.99)
0312,"camisas para hombre, si se adquieren por separado (03.1.2.01.07)"
0611,medicamentos para el aparato genitourinario y hormonas sexuales (06.1.1.01.03)
0612,"bandas protectoras o parches curita, gasas quirúrgicas, vendas, vendas elásticas, vendas de yeso, agujas hipodérmicas, jeringas, bolsas de orina, dispositivos externos para la incontinencia urinaria, máscaras de oxígeno, bajalenguas, botiquines de primeros auxilios, compresas frío/calor (entre las que se encuentran las ice packs), bolsas de gel para frío o calor, patos para orinar, chatas, humidificadores de uso médico, inhaladores, aspirador nasal, nebulizadores, ventiladores y concentradores de oxígeno"
0931,"cobros por servicio de entrega de plantas, arbustos, árboles y flores artificiales si no se cobran por separado"
0931,semillas para siembra (09.3.1.02.02)
0721,"productos específicamente para el mantenimiento del vehículo automotor, tales como cobertores para vehículos automotores, lonas protectoras de carga, cubrepisos de goma (delanteros o traseros), cubre volantes, sombrillas para vehículos automotores, cortinas para vehículos automotores, velocímetros, odómetros, medidores de temperatura, tacómetros, otros tipos de medidores, tapabarros, antiempañantes para vidrios, puntas de encendedor para vehículos automotores, tapas de válvula para neumáticos, tapas de bencina, papeleros de tela, basureros para vehículos automotores, portavasos, cubre cinturones, colas antiestática, puntas escape cromadas, micas, tomas de aire, bocinas caracol, bocinas de aire, sensores de retroceso, reparadores de pinchazo, tapas de ruedas (si se compran por separado), cables roba corriente, cargadores de batería de vehículos automotores, gatas hidráulicas, llaves de cruz, llaves de bujías"
0511,"juegos de comedor, mesas de comedor, sillas para comedor, pisos de comedor, buffet o bufé, vitrinas y otros muebles de comedor"
0118,merengues para decorar (01.1.8.09.03)
1391,pago por inscripción y autorización para portar armas de fuego
0122,preparaciones de bebidas a base de café
0813,cámaras web o webcams (08.1.3.02.99)
0321,polainas de motocicletas o de trajes típicos o tradicionales (03.2.1.05.01)
0721,"cadenas de seguridad antirrobos, candados de seguridad antirrobos, seguros antirrobos para tapa de ruedas, triángulos, equipos de GPS (posicionamiento por satélite) para motocicletas, extintores de incendio para motocicletas, recargas de extintores, cadenas para la nieve, cascos protectores para motocicletas, cascos protectores con cámaras incorporadas, chalecos reflectantes, máscaras para protección, sillas de bebés y niños para motocicletas"
1311,aparatos eléctricos para alisar o planchar el pelo
0312,"pantalones cortos (shorts), bermudas y trajes de baño escolares en su versión deportiva"
0963,"servicios de fotógrafos, tales como revelado de rollos fotográficos, impresiones de fotos, ampliaciones de fotos, fotografías de retratos, fotografías y videos de eventos (por ejemplo, matrimonios), etc"
0724,cobros por estacionamientos como los de centros comerciales contratados por algunas horas o menos tiempo (incluido el servicio del estacionador de autos o valet parking)
0213,malta
0835,arriendo de equipos de telefonía inalámbrica
0111,"galletas saladas, galletas de agua, galletas de soda, galletas de avena, galletas de linaza, galletas de salvado de trigo, entre otras (que sean envasadas o granel), incluye versiones light o dietéticas"
0621,servicios de inmunización/vacunación
0946,transporte por teleférico y telesilla (andarivel o aerosilla) en estaciones de esquí y en centros recreacionales (09.4.6.02.02)
0971,"fascículos, tabla periódica"
0511,"mesas de centro, mesas laterales, mesas para poner el teléfono, arrimos, racks, modulares de living, repisas de living, bibliotecas, bares y esquineros"
0839,"radiotelefonía, radiotelegrafía y servicios radiotelex"
0111,harina de quinoa (01.1.1.02.99)
1111,"sándwiches, completos, pizzas, empanadas y masas saladas con relleno adquiridos en establecimientos con servicio limitado (11.1.1.02.01)"
0931,azufre para jardinería
0552,cuchillo cartonero o tip-top (05.5.2.01.99)
0117,"papas desmenuzadas o molidas, puré de papas instantáneo"
1329,"artículos personales diversos como lentes de sol, lentes protectores, bastones, paraguas y sombrillas de uso personal, abanicos, llaveros, organizadores de pastillas, tapones para los oídos, etc"
0117,arvejas frescas (01.1.7.03.01)
1312,pestañas postizas
0114,yemas de huevo frescas o en conserva
0552,pulverizadoras manuales (05.5.2.01.99)
1391,"servicio de contratación de garzones, cocineros, grupos musicales (orquestas), etc"
0118,malvaviscos bañados en chocolate (01.1.8.05.01)
0922,"artículos para jugar en la playa y al aire libre, como paletas de playa, discos voladores (frisbees) y pelotas de vóleibol"
0946,"clases y actividades de cocina, tales como clases de pastelería, coctelería, repostería y gastronomía en general"
1121,"búngalos o bungalows, chalets, cabañas, cabañas rústicas y casas de campo"
0741,servicios de mensajería para encomiendas pequeñas
0562,"limpieza en seco, lavado y teñido de ropa de hogar, textiles de uso doméstico y alfombras"
0111,"bollos, muffins, croissant, pasteles, tartas dulces, pasteles dulces y otros productos de pastelería y tortas"
0312,"camisas manga larga y corta, blusas manga larga y corta, guayaberas, poleras manga larga, corta y sin mangas (sudaderas) para lactante y las versiones deportivas de estas, según corresponda"
0614,"limpieza, reparación y mantenimiento de lentes para corrección (06.1.4.01.01)"
0814,"auriculares, auriculares de cintillo, auriculares deportivos, inalámbricos, bluetooth, estén o no combinados con micrófono"
0511,"juegos de jardín o terraza (sillas y mesas), sillas y sillones colgantes (tipo columpio), quitasoles de terraza, cenadores, pérgolas, glorietas, columpios con toldo, set de terraza, comedores de terraza, reposeras, muebles de mimbre, toldo de terraza, muebles para campamento, mesas y sillas plegables, bodegas o pequeñas casas de jardín para guardar herramientas y máquinas de jardín"
0117,harinas de hortalizas (01.1.7.09.01)
1021,"gastos en cuotas de incorporación y exámenes de admisión de 7° y 8° básico (aplica para cursos de este nivel impartidos por diferentes vías: en centros o escuelas, hospitales, centros de entrenamiento, por radio o por televisión como también los cursos en línea (e-learning) y por correspondencia)"
0312,polerones de buzo para hombre (03.1.2.01.05)
0533,reparación y arriendo de equipos de limpieza (05.3.3.01.00)
1111,"tabaco que se consume con una pipa shisha o de narguile (cachimba, pipa de agua, pipa oriental, chimbombo) en restaurantes, cafés o establecimiento especializado (hookah lounge), con servicio completo (11.1.1.01.99)"
0117,"otras hortalizas de raíz, bulbo y tuberosas, frescas o refrigeradas"
0112,croquetas y apanados de ave (01.1.2.05.11)
0732,"transporte de personas y grupos de personas, y su equipaje en autobús, trolebús y bus"
0116,"grosellas y grosellas espinosas, frescas"
0119,"platos precocinados que contienen pasta rellena, arroz y otros cereales, tales como platos de cuscús, incluidas verduras y/o carne, pescado, queso u otros ingredientes"
0814,"tocadiscos, tornamesas, sintonizadores, amplificadores, reproductores de casete (cassette decks), micrófonos (micrófono de mano, de estudio, de contacto, de corbata, inalámbrico, mega direccional, estéreo) y parlantes, parlantes para automóviles, parlantes de computador, equipos de DJ, sistemas de karaoke"
0562,lavado de alfombras
1222,"valores mensuales de cuenta corriente (plan de productos), comisiones de apertura y mantención de línea de crédito, comisiones de apertura, renovación y mantención mensual línea de sobregiro adicional, publicaciones orden de no pago, envíos de talonario de cheques a domicilio, visualizaciones de cheques por Internet, solicitudes de cartolas por vía electrónica, entregas de cartola adicional, entregas de cartola histórica, entregas de saldo por mesón, emisiones de certificados, emisiones de vales vista, informes bancarios, comisiones por operaciones de tarjetas de crédito bancarias en el extranjero (giros, compras, consultas de saldo), comisiones por servicios de administración no asociadas a préstamos, comisiones por reposición de tarjeta"
1051,gastos en aranceles mensualizados de educación especial no atribuibles a un nivel específico
1313,servicios de bronceado spray o químico
0241,nueces de cola
1312,cremas y lociones desmaquillantes (13.1.2.03.01)
0119,leches de fórmula para bebés (01.1.9.02.01)
0312,"calcetines, medias, panty, etc"
0835,arriendo de teléfonos que no se encuentran incluidos en un plan de telefonía móvil (08.3.5.01.02)
0454,carbón mineral
0532,calientacamas y mantas eléctricas
0631,"cirugía y procedimientos médicos hospitalarios en cardiología, como gasometría arterial en reposo y ejercicio"
0112,carne de pollo cuyo corte no es posible identificar
0312,"conjunto o buzo completo, para niño"
0322,teñido de calzado
0531,"cocinas a gas, encimeras, encimeras solares, cocinas a leña, cocinas combinadas"
0631,"cirugía y procedimientos médicos hospitalarios en nervios periféricos, como electromiografías (incluye potenciales evocados en corteza y velocidad de conducción)"
0921,"videojuegos físicos, aplicaciones y softwares de juegos (09.2.1.01.02)"
1312,repelente corporal
0115,manteca vegetal
0531,ventiladores de cielo o empotrados (05.3.1.03.99)
0117,tomates deshidratados (01.1.7.07.01)
0111,seitán y otros sustitutos de la carne hechos de cereales (01.1.1.09.99)
0732,"transporte de personas y grupos de personas, y su equipaje en taxis colectivos (los taxis colectivos son un medio de transporte que se encuentra entre los taxis y autobuses. Estos vehículos de arriendo suelen ser más pequeños que los autobuses y suelen llevar pasajeros en una ruta fija o semifija sin horarios. Pueden detenerse en cualquier lugar para recoger o dejar a sus pasajeros. Frecuentemente encontrados en países en vías de desarrollo, los vehículos utilizados como taxis colectivos van desde autos de cuatro asientos hasta minibuses. A menudo son operados por sus propietarios)"
1329,gas o bencina para encendedores
0814,"reproductores de sonido, imágenes o videos (portátiles y personales): MP3, MP4, WAV, WMA, personal stereo, radio portátil, reproductor de CD portátil, reproductores portátiles multimedia"
0410,los pagos de los hogares que ocupan una habitación en un hotel o pensión como vivienda principal
0312,"pijamas, camisones y batas de levantarse para niña"
0561,cepillos y escobillas para ropa
0522,cargos por el arriendo de textiles para el hogar
0112,"carne de aves de corral (pollos, patos, gansos, pavos y gallinas de Guinea (pintadas))"
0117,espinacas frescas o refrigeradas
0118,"helados en formato individual como paletas, barquillos, vasitos, helados artesanales, helados caseros como cubos o similares (de leche, de agua o sorbetes, de yogur, de tofu, etc.)"
0921,compra de disfraces (09.2.1.02.99)
1391,pagos por servicios de traducción de documentos
0118,"alimentos a base de chocolate y cacao y postres a base de cacao, por ejemplo, cremas o productos para untar a base de chocolate y cacao, salsas de chocolate"
0116,fruta conservada en vinagre
1329,"asiento urinario, bacinica (pelela), entrenador de baño, bañera de plástico para bebés"
0313,guantes de seguridad o de trabajo
0119,"suplementos alimenticios y nutricionales, fórmulas dietéticas para deportistas, suplementos para la tercera edad"
0730,"servicios de alimentación y bebidas en transporte público, si no se cobran por separado (07.3.0.00.00)"
0522,servicios de reparación y costura de otros productos textiles de uso doméstico (05.2.2.01.01)
0942,"arriendo de un espacio físico donde almacenar en época de invierno de botes y yates, etc."
0111,"tortas de todos los tipos como torta de bizcocho, de milhoja, de panqueques y similares"
0931,arbustos
0532,"ventiladores de pedestal, ventiladores de mesa"
