id,text
01,Alimentos y bebidas no alcohólicas
011,Alimentos
0111,Pan y cereales
0112,Carne
0113,Pescado y mariscos
0114,"Leche, queso y huevos"
0115,Aceites y grasas
0116,Frutas
0117,Verduras
0118,"Azúcar, mermelada, miel, chocolate y confitería"
0119,Productos alimenticios N.C.P.
012,Bebidas no alcohólicas
0121,"Café, té y cacao"
0122,"Aguas minerales, refrescos y jugos de frutas"
02,"Bebidas alcohólicas, tabaco y narcóticos"
021,Bebidas alcohólicas
022,Tabaco
023,Narcóticos
03,Artículos de vestir y calzado
031,Artículos de vestir
0311,Prendas de vestir de materiales textiles
0312,Prendas de vestir de cuero o de piel
0313,Prendas de vestir de punto
0314,Accesorios de vestir
032,Calzado
033,Reparación y alquiler de artículos de vestir y calzado
04,"Alojamiento, agua, electricidad, gas y otros combustibles"
041,Alquileres reales
042,Alquileres imputados
043,Reparación y mantenimiento de la vivienda
044,Suministro de agua y servicios diversos relacionados con la vivienda
045,"Electricidad, gas y otros combustibles"
0451,Electricidad
0452,Gas
0453,Combustibles líquidos
0454,Combustibles sólidos
0455,Calor
05,"Muebles, artículos del hogar y mantenimiento corriente del hogar"
051,Muebles y accesorios; alfombras y otros revestimientos del suelo
052,Artículos textiles del hogar
053,Aparatos de calefacción y de cocina
054,"Vajilla, cristalería y utensilios del hogar"
055,Herramientas y equipo para el hogar y el jardín
056,Bienes y servicios para el mantenimiento corriente del hogar
06,Salud
061,Productos médicos y farmacéuticos
0611,Productos farmacéuticos
0612,Otros productos médicos
0613,Aparatos y equipo terapéuticos
062,Servicios para pacientes externos
063,Servicios hospitalarios
07,Transporte
071,Compra de vehículos
072,Utilización de vehículos personales
0721,Piezas de repuesto y accesorios para vehículos
0722,Combustibles y lubricantes para vehículos personales
0723,Mantenimiento y reparación de vehículos personales
073,Servicios de transporte
0731,Transporte de pasajeros por ferrocarril
0732,Transporte de pasajeros por carretera
0733,Transporte de pasajeros por vía aérea
0734,Transporte de pasajeros por vía marítima y fluvial
0735,Transporte por tubería combinado y otros servicios de transporte
08,Información y comunicación
081,Equipo de información y comunicación
082,Servicios de telefonía y fax
083,Servicios de información
09,"Esparcimiento, actividades recreativas y culturales"
091,"Equipo audiovisual, fotográfico y de procesamiento de la información"
092,Otros artículos recreativos importantes y equipo conexo
093,Otros artículos recreativos y accesorios
094,Servicios recreativos y culturales
095,"Diarios, libros y papelería"
096,Paquetes turísticos
10,Servicios de educación
101,Educación preprimaria y primaria
102,Educación secundaria
103,Educación postsecundaria no terciaria
104,Educación terciaria
105,Educación no definida por nivel
11,Servicios de restaurantes y hoteles
111,Servicios de alimentos y bebidas
112,Servicios de alojamiento
12,Bienes y servicios diversos
121,Cuidado personal
122,Prostitución
123,Efectos personales N.C.P.
124,Protección social
125,Seguros
126,Servicios financieros N.C.P.
127,Otros servicios N.C.P.
0111,Facturas y churros
0111,"Galletas, grisines y tostadas"
0111,Galletitas de agua envasadas
0111,Galletitas de agua sueltas
0111,Galletitas dulces envasadas
0111,Galletitas dulces sueltas
0111,Galletitas de otro tipo
0111,Masas secas o finas
0111,Pan envasado en rebanadas blanco
0111,Pan envasado en rebanadas integral
0111,Pan tipo francés fresco en piezas
0111,Pan integral fresco en piezas
0111,Pan para hamburguesas - pebetes - panchos
0111,Pan rallado
0111,"Pancitos, bollitos, figazzitas saborizados"
0111,Panes y panecillos frescos de otro tipo
0111,Panes y panecillos precocidos y congelados
0111,Pan blanco de molde por pieza
0111,"Tortas, tartas, pan dulce"
0111,Otros productos de panadería y repostería
0111,Surtidos de productos de panadería y pastelería
0111,Arroz blanco
0111,Arroz integral
0111,Otros arroces con aditamentos
0111,Fideos de arroz
0111,Avena
0111,Cereales en grano
0111,Cereales inflados
0111,Féculas
0111,Harina de maíz
0111,Harina de trigo
0111,"Mezcla de harina para pizza, ñoquis, torta frita"
0111,Mezcla de cereales y fibras o frutas
0111,Sémola y semolín
0111,Harinas integrales
0119,Semillas
0111,"Otras harinas, cereales y fibras"
0111,"surtidos de harinas, arroz, cereales y fibras"
0111,Canelones
0119,Empanadas preparadas sin cocinar
0111,Fideos frescos
0111,Fideos secos
0111,Ñoquis frescos
0111,Pastas deshidratadas con y sin relleno
0111,Pizzas preparadas sin cocinar
0111,Pre-pizza
0111,Ravioles frescos
0111,"Tapas frescas para canelones, panqueques, lasagnas, etc."
0111,Tapas frescas para empanadas y pastelitos
0111,Tapas frescas para tartas
0119,Tartas preparadas sin cocinar
0111,"Rapiditas, fajitas, etc."
0111,"Otras pastas frescas rellenas,  tortelletis,  fideos rellenos, panzzotis, agnolottis, capellettis, sorrentinos, etc."
0111,Otros alimentos semipreparados en base a pastas
0111,Surtidos de pastas
0112,Aguja
0112,Asado
0112,Bife ancho
0112,Bife angosto
0112,Bife de chorizo
0112,bola de lomo
0112,Carnaza común
0112,Carne picada
0112,Cuadrada
0112,Cuadril
0112,Falda
0112,Hueso con carne
0112,Hueso sin carne
0112,Lomo
0112,Matambre - cima
0112,Nalga
0112,Paleta
0112,Palomita
0112,Peceto
0112,Roast beef
0112,Vacío
0112,Otros cortes
0112,Hígado
0112,Lengua de vaca
0112,Mondongo
0112,Riñón
0112,Otras achuras y menudencias vacunas
0112,Hamburguesas para cocinar (semipreparados)
0112,Milanesas para cocinar (semipreparados)
0112,Otros alimentos semipreparados en base a carne para cocinar
0112,Surtidos de carne fresca vacuna
0112,"Pollo entero, medio pollo"
0112,Pollo trozado
0112,Otras aves
0112,Menudencias de ave
0112,Hamburguesas de pollo
0112,Supremas de pollo rebozadas
0112,"Preparados de pollo: Formitas, patitas, etc."
0112,Otros alimentos semipreparados en base a pollo para cocinar
0112,Surtidos de carne de ave
0112,Lechón entero o medio
0112,Costeleta - chuleta de cerdo
0112,Paleta de cerdo
0112,Lomo cerdo
0112,Carré de cerdo
0112,Pechito de cerdo
0112,Otros cortes de carne porcina
0112,"Ovino y caprino, entero o por corte"
0112,"Achuras y menudencias, porcinas y ovinas"
0112,Otros alimentos semipreparados en base a carne porcina u ovina
0112,Surtidos de carne porcina u ovina
0112,Otras carnes frescas o congeladas
0112,Chorizo fresco
0112,Morcilla
0112,Salchicha criolla
0112,Salchicha tipo viena con y sin piel
0112,Otros embutidos frescos
