"id","text"
"01122101","Elote, amarillo, dulce, crudo"
"01171101","Avena, cruda"
"01212101","Repollo comun, crudo"
"01212102","Repollo morado, crudo"
"01214101","Lechuga, no repollada, cruda"
"01215101","Acelga, cruda"
"01215102","Espinaca cruda"
"01219101","Apio, tallos, crudo"
"01219102","Berro, crudo"
"01219103","Bledo, hojas  -  Amaranto - crudas"
"01219104","Cilantro, crudo"
"01219105","Guisquil (puntas y hojas)"
"01219106","Chipilin, hojas y puntas"
"01219107","Macuy, hierbamora o  o quilete"
"01219108","Hojas de mostaza"
"01219109","Hojas verdes : prom  acelga, berro, espinaca, macuy"
"01219110","Nopal, crudo"
"01221101","Sandia, cruda"
"01229101","Melon corrugado o cantaloupe, crudo"
"01229102","Melon liso o melon casaba, crudo"
"01231101","Chiles, dulces y picantes (prom 4 chiles)"
"01231102","Chile, chiltepe, crudo"
"01231103","Chile pimiento, rojo, crudo"
"01231104","Chile, pimiento, amarillo-verde, crudo"
"01231105","Chile guaque, crudo"
"01231106","Chile Jalapeño, fresco, crudo"
"01231107","Chile pasa"
"01231108","Chile serrano, crudo"
"01232101","Pepino, cojombro, crudo"
"01233101","Berenjena, cruda"
"01234101","Miltomate"
"01234102","Tomates, frescos, cocidos o enlatados (prom 4 prod)"
"01234103","Tomate amarillo, crudo"
"01234104","Tomate verde, crudo"
"01234105","Tomato de arbol, fruto, crudo "
"01234106","Tomate, maduro, crudo"
"01235101","Ayote o guicoy, hojas, crudas"
"01235102","Guisquil o Perulero"
"01235103","Ayote, Chilacayote, maduro"
"01235104","Zapallo, calabaza: prom madura y tiernas"
"01235105","Calabaza y calabacita, crudas"
"01235106","Calabacitas tiernas, crudas, todas variedades"
"01235107","Chayote, guisquil o Pataste,crudo"
"01241101","Frijoles verdes, habichuelas tiernas, crudas"
"01242101","Guandules o gandules cocidos - Pma"
"01242102","Arveja, cruda"
"01242103","Arveja, china, cruda"
"01242104","Arvejas cocidas"
"01242105","Guandules, crudos"
"01249101","Lentejas, crudas"
"01251101","Zanahoria, cruda"
"01251102","Nabo"
"01252101","Ajo, cabeza, crudo"
"01253101","Cebollas, dulde, cruda"
"01253102","Cebolla, cabeza, cruda"
"01254101","Puerro, crudo (bulbos)"
"01254102","Rabano redondo"
"01259101","Remolacha, betarraga, cocida"
"01259102","Cebollas, zanahorias, crudas"
"01260101","Frijol negro, crudo"
"01260102","Frijoles rojos, porotos, crudos"
"01260103","Frijol: bayo, flor de mayo, negro, etc."
"01260104","Frijol negro, crudo"
"01260105","Porotos - frijoles - crudos"
"01260106","Frijoles, pinto, crudos"
"01260107","Habas, crudas"
"01270101","Hongos Cocidos"
"01290101","Frijoles nacidos, soya"
"01290102","Flores de izote"
"01290104","Veget amarillos (zanah, camote, guiucoy, prom)"
"01290105","Otros veg (guisqui, ejotes, etc - prom 6 prod)"
"01290106","Otros veget: promedio acelga,  remolacha y veg mixtos enlatados"
"01212101","Otros veg frescos: promedio acelga, Remolacha, Betarraga y chile pimiento, crudos"
"01290108","Verduras, general: prom otros veg y otros veg frescos"
"01290109","Okra, cruda"
"01210000","Quinua, cruda"
"01210001","Pimiento rojo crudo"
"01210002","Pimiento verde crudo"
"01210003","Zapallo italiano (zucchini) crudo"
"01210004","Habas sin vaina crudas"
"01210005","Ají rojo picante crudo (locoto, rocoto)"
"01210006","Nicaragua: repollo y lechuga promedio"
"01210007","Nicaragua: pepino y pipian promedio"
"01210008","Nicaragua: zanahoria y remolacha promedio"
"01311101","Aguacate, palta, crudo"
"01312101","Banano, maduro, crudo"
"01313101","platanos, crudos"
"01313102","Platanos y bananos - prom 3 prod"
"01313103","Platano maduro, crudo"
"01313104","Platano verde, crudo"
"01313105","Banano/guineo verde, crudo"
"01315101","Higo, fruta madura, crudo"
"01317101","Papaya, fruta madura, crudo"
"01318101","Piña, fruta"
"01319101","Pacaya"
"01319102","Chicozapote, crudo"
"01319103","Maracuya y granadilla - HOND"
"01319104","Nectar de guaba"
"01319105","Guava nectar"
"01319106","Guayaba , guava (P.R.)"
"01319107","Jocote, tronador"
"01319108","Mango, maduro, crudo"
"01319109","Naranjilla, pulpa"
"01319110","Granadilla - fruta"
"01319111","Maracuya - parcha - Fruta"
"01321101","Toronja, fruta, cruda"
"01321102","Toronja, jugo"
"01322101","Lima dulce, fruta, cruda"
"01322102","Limon criollo o real, fruta, crudo"
"01323101","Naranja, fruta, cruda"
"01324101","Mandarina, cruda"
"01329101","Toronjas, mandarinas - HOND"
"01329102","Frutas citricas: prom mandarina, toronja y Lima dulce -CEPAL"
"01330101","Uva, fruta, cruda"
"01342101","Kiwi, crudo"
"01344101","Fresa o frutilla, crudas"
"01349101","Mora, cruda"
"01349102","Sanzapote o sunza"
"01349103","Zapote"
"01351101","Manzana, fruta, cruda"
"01351102","Manzana, importada c/ cascara, cruda"
"01352101","Pera, criolla, fruta s/cascara, cruda"
"01352102","Pera, fruta, cruda"
"01354101","Acerola, cereza, cruda"
"01354102","Acerola, cereza, cruda"
"01355101","Durazno amarillo  o Melocoton, crudos"
"01355102","Durazno comun, maduro s/cascara, crudo"
"01356101","Ciruela - jocote"
"01359101","Caimito, fruta fresca"
"01359102","Durazno, fresas, guanabanas y lichas - HOND"
"01359103","Manzana, uvas, melocoton (promedio)"
"01359104","Manzanita o manzanilla, crudas"
"01359105","Membrillo con cascara"
"01359106","Nispero japones, crudo"
"01359107","Nance, crudo"
"01359108","Manzana, pera"
"01359109","Promedio manzana y membrillo - CEPAL"
"01359110","Otras frutas frescas: prom citricas, pera y sandia"
"01373101","Castana, cruda"
"01390101","Tamarindo, crudo"
"01310000","Caqui"
"01310001","Jaca (brasil)"
"01310002","Nicaragua: maracuya y banano maduro promedio"
"01310003","Nicaragua: manzana, piña y melón, promedio"
"01510101","Papas, rojas, con cascara, crudas"
"01591101","Camote, blanco, crudo"
"01591102","Camote, anaranjado, crudo"
"01591103","Camote, anaranjado, cocido"
"01591104","Camote, anaranjado, crudo"
"01592101","Yuca, raiz -cruda"
"01593101","Name, blanco"
"01599101","Promedio papas-raices-verduras"
"01599102","Chayote o guisquil, raiz"
"01599103","Otoe, malanga - Pma"
"01599104","Fruta de pan o masapan"
"01510000","Papa con cascara cruda"
"01510001","Chuño"
"01652101","Especias, pimienta roja o cayena"
"01654101","Comino"
"01654102","Achiote, semilla - grano"
"01654103","Comino"
"01690101","Hierbabuena"
"01690102","perejil, crudo"
"01690103","cebollina - cruda"
"01690104","Epazote - Guate"
"01690105","Chipilin, hojas y puntas"
"01690106","Perejil, oregano, cilantro - Prom -CEPAL"
"01610000","Aliño, perejil seco"
"01610001","Albahaca fresca"
"01610002","Laurel"
"01610003","Jengibre"
"01610004","Vegetales congelados"
"01610005","Azafrán"
"01610006","Nicaragua: cilantro, hierbabuena y apio, promedio"
"01701101","Frijoles, promedio de crudo, seco y enlatados"
"02320101","Huevos de pato"
"02320102","Huevos de tortuga"
"02320103","Huevos de codorniz"
"02320104","Huevo pato, codorniz, tortuga- promedio"
"04120101","Pescado, corvina fresca - crudo"
"04120102","Pescado: mojarra fresca, cruda"
"04120103","ARENQUE, crudo"
"04120104","Pescado, bacalao de Atlantico, crudo"
"04120105","Pescado, tilapia, cruda"
"04120106","Pescado del Atlantico, crudo"
"04120107","Pescado fresco, entero, crudo"
"04120108","Pescado, tilapia, entera, cruda"
"04120109","Pescado, arenque, crudo"
"04210101","Jute - cangrejo"
"04210102","JAIBAS - HOND"
"04291101","Mariscos, caracol de mar, carne de"
"04291102","CARACOL - HOND"
"04291103","Almejas,  cangrejo - promedio"
"21111101","Res: carne semimagra, cruda"
"21111103","Res, carne con grasa, cruda"
"21111104","carne de res, preparacion de hilachas"
"21111105","carne de res molida, regular, cocida"
"21111106","CARNE DE RES CON HUESO - COSTILLAS - HONDURAS"
"21151102","Res, bistec, carne y hueso, cruda"
